Activity Id,Students Sets,Subject,Teachers,Room,SKS
1,CE-01-01,23278 - FEA4054 - TUGAS AKHIR,0,KELAS,4
2,TE-01-01,23350 - FEA4054 - TUGAS AKHIR,0,KELAS,4
3,TE-02-02,23339 - TEA40A3 - KOMUNIKASI OPTIK,AAF,KELAS,3
4,TE-03-01,23206 - FEA2214 - ELEKTRONIKA,AAF,KELAS,2
5,TE-03-01,23206 - FEA2214 - ELEKTRONIKA,AAF,KELAS,2
6,TE-04-01,23181 - MAA1214 - KALKULUS 2A,AAF,KELAS,2
7,TE-04-01,23181 - MAA1214 - KALKULUS 2A,AAF,KELAS,2
8,TE-04-02,23181 - MAA1214 - KALKULUS 2A,AAF,KELAS,2
9,TE-04-02,23181 - MAA1214 - KALKULUS 2A,AAF,KELAS,2
10,IE-03-01,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,KELAS,2
11,IE-03-02,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,KELAS,2
12,IE-03-03,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,KELAS,2
13,CE-04-01,23209 - LAA1022 - BAHASA INGGRIS 2,AFR,KELAS,2
14,EE-04-01,23291 - LAA1022 - BAHASA INGGRIS 2,AFR,KELAS,2
15,TE-02-01,23184 - LAA1022 - BAHASA INGGRIS 2,AFR,KELAS,2
16,TE-02-02,23184 - LAA1022 - BAHASA INGGRIS 2,AFR,KELAS,2
17,IS-02-01,23825 - ISA3242 - ETIKA PROFESI TEKNOLOGI INFORMASI,AGS,KELAS,2
18,IS-03-01,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AGS,KELAS,3
19,IS-03-01,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AGS,LAB,3
20,IE-04-01,23433 - LAA1022 - BAHASA INGGRIS 2,ALD,KELAS,2
21,IE-04-02,23433 - LAA1022 - BAHASA INGGRIS 2,ALD,KELAS,2
22,IF-01-01,23921 - FIB1052 - BAHASA  INGGRIS,ALD,KELAS,2
23,IF-01-02,23921 - FIB1052 - BAHASA  INGGRIS,ALD,KELAS,2
24,CE-01-01,23295 - CEA40H3 - KOMPUTASI PARALLEL,ALF,KELAS,3
25,CE-01-01,23292 - CEA40F3 - KENDARAAN CERDAS OTOMATIS TERHUBUNG,ALF,KELAS,3
26,CE-02-01,23366 - CEA3221 - PRAKTIKUM SISTEM OPERASI,ALF,LAB,1
27,CE-02-01,23364 - CEA3223 - SISTEM OPERASI,ALF,KELAS,3
28,CE-02-01,23369 - CEA3243 - KECERDASAN BUATAN,ALF,KELAS,3
29,TE-04-01,23188 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,ALF,KELAS,3
30,IT-01-01,23855 - ITA40B3 - PENGOLAHAN SINYAL DIGITAL,AMI,KELAS,3
31,IT-04-01,23750 - ITA1213 - KOMUNIKASI DATA,AMI,KELAS,3
32,IT-04-02,23750 - ITA1213 - KOMUNIKASI DATA,AMI,KELAS,3
33,DS-01-01,23876 - DSB1223 - LOGIKA FORMAL,ANA,KELAS,3
34,IS-04-03,23795 - MAA1033 - TEORI PROBABILITAS,ANA,KELAS,3
35,IS-04-04,23795 - MAA1033 - TEORI PROBABILITAS,ANA,KELAS,3
36,IT-02-01,23861 - ITA40H3 - KRIPTOGRAFI,ANA,KELAS,3
37,DB-01-01,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB,3
38,DB-01-01,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB,3
39,DB-01-02,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB,3
40,DB-01-02,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB,3
41,IS-03-05,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,ANO,KELAS,3
42,IS-03-05,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,ANO,LAB,3
43,CE-01-01,23286 - CEA40C3 - MEKATRONIKA,ARA,KELAS,3
44,CE-02-01,23370 - TPA3012 - EKONOMI TEKNIK,ARA,KELAS,2
45,CE-03-01,23265 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,KELAS,3
46,CE-03-02,23265 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,KELAS,3
47,EE-01-01,23426 - EEA40I3 - MEKATRONIKA,ARA,KELAS,3
48,TE-03-02,23203 - MAA2213 - MATEMATIKA TEKNIK 2,ARA,KELAS,3
49,IF-01-01,23924 - IFB1234 - FISIKA,ARD,KELAS,3
50,IF-01-01,23924 - IFB1234 - FISIKA,ARD,LAB,3
51,IF-01-02,23924 - IFB1234 - FISIKA,ARD,KELAS,3
52,IF-01-02,23924 - IFB1234 - FISIKA,ARD,LAB,3
53,SE-02-01,23709 - SEA3283 - PEMROGRAMAN MOBILE,ARD,LAB,3
54,IT-03-01,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,ARN,KELAS,3
55,IT-03-01,23760 - ITA2273 - KECERDASAN BUATAN,ARN,KELAS,3
56,IT-03-02,23760 - ITA2273 - KECERDASAN BUATAN,ARN,KELAS,3
57,IT-03-03,23760 - ITA2273 - KECERDASAN BUATAN,ARN,KELAS,3
58,IS-01-01,23838 - ISA40F3 - MANAJEMEN RESIKO,ARS,KELAS,3
59,IS-02-01,23824 - ISA3233 - MANAJEMEN LAYANAN,ARS,KELAS,3
60,IS-02-02,23824 - ISA3233 - MANAJEMEN LAYANAN,ARS,KELAS,3
61,IS-03-01,23811 - ISA2233 - REKAYASA PROSES BISNIS,ARS,KELAS,3
62,IS-03-02,23811 - ISA2233 - REKAYASA PROSES BISNIS,ARS,KELAS,3
63,IE-02-01,23624 - IEA3243 - SIMULASI KOMPUTER,ASA,KELAS,3
64,IE-03-01,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,KELAS,3
65,IE-03-02,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,KELAS,3
66,IE-03-03,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,KELAS,3
67,IF-01-01,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,AWS,KELAS,3
68,IF-01-01,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,AWS,LAB,3
69,IS-03-04,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AWS,KELAS,3
70,IS-03-04,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AWS,LAB,3
71,IT-03-02,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,KELAS,3
72,IT-03-03,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,KELAS,3
73,IT-04-01,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,KELAS,3
74,IT-04-01,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,LAB,3
75,IT-04-02,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,KELAS,3
76,IT-04-02,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,LAB,3
77,IE-02-01,23619 - IEA3032 - K3 (KESEHATAN DAN KESELAMATAN KERJA) PELABUHAN,BIA,KELAS,2
78,IE-02-01,23620 - IEA3052 - PENGANTAR MANAJEMEN PELABUHAN,BIA,KELAS,2
79,IE-02-02,23619 - IEA3032 - K3 (KESEHATAN DAN KESELAMATAN KERJA) PELABUHAN,BIA,KELAS,2
80,IE-02-02,23624 - IEA3243 - SIMULASI KOMPUTER,BIA,KELAS,3
81,IE-04-01,23462 - IEA1212 - MENGGAMBAR TEKNIK,BIA,KELAS,2
82,IE-04-01,23464 - IEA1211 - PRAKTIKUM MENGGAMBAR TEKNIK,BIA,LAB,1
83,IE-04-02,23462 - IEA1212 - MENGGAMBAR TEKNIK,BIA,KELAS,2
84,IE-04-02,23464 - IEA1211 - PRAKTIKUM MENGGAMBAR TEKNIK,BIA,LAB,1
85,CE-02-01,23372 - CEA3231 - PRAKTIKUM SISTEM BASIS DATA,BLM,LAB,1
86,CE-02-01,23367 - CEA3233 - SISTEM BASIS DATA,BLM,KELAS,3
87,CE-04-01,23168 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,BLM,KELAS,3
88,CE-04-01,23186 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,LAB,1
89,EE-04-01,23308 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,LAB,1
90,TE-04-01,23189 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,LAB,1
91,TE-04-02,23189 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,LAB,1
92,IE-04-02,23461 - IEA1032 - PENGETAHUAN LINGKUNGAN,BLW,KELAS,2
93,DB-01-01,23988 - DBB1243 - AKUNTANSI DASAR DAN BIAYA,DAU,KELAS,3
94,DB-01-02,23988 - DBB1243 - AKUNTANSI DASAR DAN BIAYA,DAU,KELAS,3
95,IS-03-05,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,DAU,KELAS,3
96,IS-04-02,23799 - ISA1223 - KEPEMIMPINAN DAN KOMUNIKASI INTERPERSONAL,DAU,KELAS,3
97,IS-04-03,23799 - ISA1223 - KEPEMIMPINAN DAN KOMUNIKASI INTERPERSONAL,DAU,KELAS,3
98,SE-02-01,23719 - SEA30B3 - PENGGALIAN DATA,DEW,KELAS,3
99,SE-03-01,23696 - SEA2253 - PERANCANGAN DAN ARSITEKTUR PERANGKAT LUNAK,DEW,KELAS,3
100,SE-03-01,23692 - MAA1033 - TEORI PROBABILITAS,DEW,KELAS,3
101,IT-03-01,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,KELAS,3
102,IT-03-01,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,LAB,3
103,IT-03-01,23761 - ITA2283 - KEAMANAN INFORMASI,DIB,KELAS,3
104,IT-03-02,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,KELAS,3
105,IT-03-02,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,LAB,3
106,IT-03-02,23761 - ITA2283 - KEAMANAN INFORMASI,DIB,KELAS,3
107,IE-02-01,23622 - IEA3223 - ANALISIS KELAYAKAN,DMI,KELAS,3
108,IE-02-02,23622 - IEA3223 - ANALISIS KELAYAKAN,DMI,KELAS,3
109,IE-03-01,23583 - IEA2243 - ANALISIS DAN ESTIMASI BIAYA,DMI,KELAS,3
110,IE-03-02,23583 - IEA2243 - ANALISIS DAN ESTIMASI BIAYA,DMI,KELAS,3
111,IE-03-03,23583 - IEA2243 - ANALISIS DAN ESTIMASI BIAYA,DMI,KELAS,3
112,IE-04-01,23454 - IEA1022 - PENGANTAR ILMU EKONOMI,DMI,KELAS,2
113,IE-04-02,23454 - IEA1022 - PENGANTAR ILMU EKONOMI,DMI,KELAS,2
114,EE-01-01,23427 - EEA40J3 - INTERNET OF THINGS,DMS,KELAS,3
115,EE-02-01,23310 - EEA3231 - PRAKTIKUM SISTEM INSTRUMENTASI DAN PENGUKURAN,DMS,LAB,1
116,EE-03-01,23325 - MAA2213 - MATEMATIKA TEKNIK 2,DMS,KELAS,3
117,EE-04-01,23297 - EEA1022 - PENGENALAN TEKNIK ELEKTRO,DMS,KELAS,2
118,EE-01-01,23655 - FEA4023 - MANAJEMEN PROYEK,DNR,KELAS,3
119,IE-04-01,23461 - IEA1032 - PENGETAHUAN LINGKUNGAN,DNR,KELAS,2
120,TE-03-01,23317 - TPA3022 - KEWIRAUSAHAAN,DNR,KELAS,2
121,TE-03-02,23317 - TPA3022 - KEWIRAUSAHAAN,DNR,KELAS,2
122,CE-03-01,23246 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,EDS,KELAS,3
123,CE-03-01,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2
124,CE-03-01,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2
125,CE-03-02,23246 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,EDS,KELAS,3
126,CE-03-02,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2
127,CE-03-02,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2
128,IT-03-01,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,KELAS,3
129,IT-03-02,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,KELAS,3
130,IT-03-03,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,KELAS,3
131,TE-01-01,23340 - TEA40B3 - REKAYASA RADIO,FSA,KELAS,3
132,TE-01-02,23337 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,FSA,KELAS,2
133,TE-02-01,23247 - TEA3211 - PRAKTIKUM ANTENA DAN PROPAGASI,FSA,LAB,1
134,TE-02-01,23244 - TEA3213 - ANTENA DAN PROPAGASI,FSA,KELAS,3
135,TE-02-02,23247 - TEA3211 - PRAKTIKUM ANTENA DAN PROPAGASI,FSA,LAB,1
136,TE-02-02,23244 - TEA3213 - ANTENA DAN PROPAGASI,FSA,KELAS,3
137,TE-03-01,23210 - FEA2223 - ELEKTROMAGNETIKA,FSA,KELAS,3
138,SE-02-01,23727 - SEA30D3 - PEMROGRAMAN GAME,FWP,LAB,3
139,SE-02-01,23704 - SEA3264 - PROSES DAN IMPLEMENTASI PERANGKAT LUNAK,FWP,KELAS,3
140,SE-02-01,23704 - SEA3264 - PROSES DAN IMPLEMENTASI PERANGKAT LUNAK,FWP,KELAS,3
141,SE-02-01,23723 - SEA3023 - SISTEM INFORMASI GEOGRAFIS,FWP,LAB,3
142,IT-02-01,23769 - ITA3213 - PEMROGRAMAN MOBILE,FZN,KELAS,3
143,IT-02-02,23769 - ITA3213 - PEMROGRAMAN MOBILE,FZN,KELAS,3
144,IT-04-01,23749 - SCA1024 - FISIKA DASAR  B,FZN,KELAS,3
145,IT-04-01,23749 - SCA1024 - FISIKA DASAR  B,FZN,LAB,3
146,IT-04-02,23749 - SCA1024 - FISIKA DASAR  B,FZN,KELAS,3
147,IT-04-02,23749 - SCA1024 - FISIKA DASAR  B,FZN,LAB,3
148,CE-02-01,23279 - CEA30A3 - MANAJEMEN LOGISTIK,GRA,KELAS,3
149,EE-02-01,23417 - EEA40F3 - MANAJEMEN LOGISTIK,GRA,KELAS,3
150,IE-02-02,23618 - IEA3043 - ORGANISASI DAN MANAJEMEN PERUSAHAAN INDUSTRI,GRA,KELAS,3
151,TE-01-01,23349 - TEA40H3 - NEW GENERATION NETWORKS,HAM,KELAS,3
152,TE-01-01,23337 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,HAM,KELAS,2
153,TE-02-01,23252 - TEA3221 - PRAKTIKUM ELEKTRONIKA TELEKOMUNIKASI,HAM,LAB,1
154,TE-02-01,23316 - TEA3233 - SISTEM KOMUNIKASI SELULER,HAM,KELAS,3
155,TE-02-02,23316 - TEA3233 - SISTEM KOMUNIKASI SELULER,HAM,KELAS,3
156,DB-01-01,23982 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2
157,DB-01-02,23982 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2
158,DS-01-01,23878 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2
159,IE-04-01,23439 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,KELAS,3
160,IE-04-02,23439 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,KELAS,3
161,IF-01-01,23920 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2
162,IF-01-02,23920 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2
163,IT-04-01,23747 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,KELAS,3
164,IT-01-01,23775 - FIA4022 - METODE PENELITIAN DAN PENGEMBANGAN,HEL,KELAS,2
165,IT-04-01,23748 - MAA1023 - MATEMATIKA DISKRIT,HEL,KELAS,3
166,DS-01-01,23880 - DSB1224 - DATA WRANGLING,HMM,KELAS,2
167,DS-01-01,23880 - DSB1224 - DATA WRANGLING,HMM,KELAS,2
168,IT-02-01,23770 - ITA3273 - PEMBELAJARAN MESIN,HMM,KELAS,3
169,IT-02-01,23854 - ITA40A3 - PENGOLAHAN CITRA DIGITAL,HMM,KELAS,3
170,IT-02-02,23854 - ITA40A3 - PENGOLAHAN CITRA DIGITAL,HMM,KELAS,3
171,DS-01-01,23875 - DSB1213 - KALKULUS 2,HNF,KELAS,3
172,IS-04-01,23795 - MAA1033 - TEORI PROBABILITAS,HNF,KELAS,3
173,IS-04-02,23795 - MAA1033 - TEORI PROBABILITAS,HNF,KELAS,3
174,SE-04-01,23682 - MAA1223 - KALKULUS 2B,HNF,KELAS,3
175,EE-04-01,23300 - LAA1032 - BAHASA INDONESIA,HRM,KELAS,2
176,TE-04-01,23187 - LAA1032 - BAHASA INDONESIA,HRM,KELAS,2
177,TE-04-02,23187 - LAA1032 - BAHASA INDONESIA,HRM,KELAS,2
178,IS-03-01,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,HWM,KELAS,3
179,IS-04-03,23801 - ISA1213 - SISTEM ENTERPRISE,HWM,KELAS,3
180,IS-04-04,23801 - ISA1213 - SISTEM ENTERPRISE,HWM,KELAS,3
181,EE-03-01,23329 - FEA2214 - ELEKTRONIKA,IFA,KELAS,2
182,EE-03-01,23329 - FEA2214 - ELEKTRONIKA,IFA,KELAS,2
183,EE-02-01,23294 - EEA3213 - SISTEM TENAGA ELEKTRIK,ISA,KELAS,3
184,EE-02-01,23298 - EEA3211 - PRAKTIKUM SISTEM TENAGA ELEKTRIK,ISA,LAB,1
185,EE-02-01,23399 - EEA30C3 - ELEKTRONIKA DAYA,ISA,KELAS,3
186,EE-03-01,23342 - FEA2223 - ELEKTROMAGNETIKA,ISA,KELAS,3
187,CE-04-01,23192 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
188,CE-04-01,23192 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
189,EE-04-01,23273 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
190,EE-04-01,23273 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
191,IE-04-01,23430 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
192,IE-04-01,23430 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
193,IE-04-02,23430 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
194,IE-04-02,23430 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
195,EE-01-01,23654 - FEA4054 - TUGAS AKHIR,KHL,KELAS,4
196,EE-02-01,23299 - EEA3223 - SISTEM TELEKOMUNIKASI,KHL,KELAS,3
197,EE-02-01,23302 - EEA3221 - PRAKTIKUM SISTEM TELEKOMUNIKASI,KHL,LAB,1
198,EE-02-01,23391 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,KHL,KELAS,2
199,EE-03-01,23334 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,KHL,KELAS,3
200,EE-03-01,23338 - FEA2021 - PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,KHL,LAB,1
201,EE-03-01,23347 - MAA2013 - PROBABILITAS DAN STATISTIK,KHL,KELAS,3
202,IF-01-02,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,KMD,KELAS,3
203,IF-01-02,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,KMD,LAB,3
204,IS-03-04,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,KMD,KELAS,3
205,IS-03-04,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,KMD,LAB,3
206,IT-02-01,23771 - ITA3233 - DATA WAREHOUSE,KMD,KELAS,3
207,IT-02-02,23771 - ITA3233 - DATA WAREHOUSE,KMD,KELAS,3
208,IS-03-02,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,KELAS,3
